N.Month	Name.Month	CY.d1	CY.dl	LY.d1	LY.dl	CY.d1.h	CY.dl.h	LY.d1.h	LY.dl.h	CY.length	LY.length	Name.Month.Full
1	Jan	1	31	1	31	1	744	1	744	31	31	January
2	Feb	32	59	32	60	745	1416	745	1440	28	29	February
3	Mar	60	90	61	91	1417	2160	1441	2184	31	31	March
4	Apr	91	120	92	121	2161	2880	2185	2904	30	30	April
5	May	121	151	122	152	2881	3624	2905	3648	31	31	May
6	Jun	152	181	153	182	3625	4344	3649	4368	30	30	June
7	Jul	182	212	183	213	4345	5088	4369	5112	31	31	July
8	Aug	213	243	214	244	5089	5832	5113	5856	31	31	August
9	Sep	244	273	245	274	5833	6552	5857	6576	30	30	September
10	Oct	274	304	275	305	6553	7296	6577	7320	31	31	October
11	Nov	305	334	306	335	7297	8016	7321	8040	30	30	November
12	Dec	335	365	336	366	8017	8760	8041	8784	31	31	December
